cnpj;optante_simples;optante_simei
26147855000133;SIM;SIM
26163591000101;NÃO;NÃO
26198843000138;SIM;SIM
26203670000107;SIM;SIM
26258522000181;SIM;SIM
26267372000172;SIM;SIM
26319778000151;SIM;SIM
26375585000118;NÃO;NÃO
26413147000105;SIM;SIM
26421427000157;SIM;SIM
26442031000196;NÃO;NÃO
26472532000115;SIM;NÃO
26474744000131;NÃO;NÃO
26489370000128;SIM;SIM
26495602000150;SIM;NÃO
26511762000146;SIM;SIM
26545757000235;NÃO INFORMADO;NÃO INFORMADO
26578673000117;SIM;NÃO
26585884000187;SIM;SIM
26677034000109;SIM;NÃO
26686777000145;SIM;SIM
26698524000191;NÃO;NÃO
26744659000146;SIM;NÃO
26859766000110;SIM;SIM
26904863000187;SIM;SIM
26979554000176;SIM;NÃO
27009301000132;SIM;NÃO
27033634000105;SIM;SIM
27038048000145;SIM;NÃO
27080808000182;SIM;NÃO
27082822000115;SIM;SIM
27139298000171;SIM;SIM
27151353000149;SIM;SIM
27164746000197;SIM;NÃO
27167403000186;NÃO;NÃO
27205817000152;NÃO;NÃO
27223582000121;SIM;SIM
27252486000101;SIM;SIM
27285912000103;SIM;SIM
27355258000167;NÃO;NÃO
27359745000106;SIM;SIM
27398823000173;SIM;SIM
27405911000155;SIM;SIM
27470069000135;SIM;NÃO
27513690000139;SIM;SIM
27539751000137;SIM;NÃO
27542156000150;NÃO;NÃO
27565880000108;SIM;SIM
27600290000160;NÃO;NÃO
27601055000103;SIM;SIM
27610762000166;SIM;NÃO
27645901000197;SIM;SIM
27662366000182;SIM;SIM
27672439000117;NÃO;NÃO
27679718000102;SIM;SIM
27728826000128;SIM;SIM
27735633000102;NÃO;NÃO
27808046000198;SIM;SIM
27843674000104;SIM;SIM
27854024000164;SIM;SIM
27897149000171;NÃO;NÃO
27922822000186;SIM;NÃO
27928798000192;SIM;SIM
27952836000142;SIM;SIM
28106267000187;NÃO;NÃO
28167662000170;SIM;SIM
28193840000137;SIM;NÃO
28277024000101;SIM;NÃO
28279202000133;SIM;NÃO
28318338000296;NÃO INFORMADO;NÃO INFORMADO
28382603000114;SIM;SIM
28390628000160;SIM;SIM
28419352000103;SIM;NÃO
28435370000251;NÃO;NÃO
28508910000107;SIM;NÃO
28527449000121;NÃO;NÃO
28535512000171;SIM;NÃO
28572297000189;SIM;SIM
28587433000104;SIM;SIM
28661345000105;SIM;SIM
28673126000227;NÃO INFORMADO;NÃO INFORMADO
28678234000101;SIM;NÃO
28689728000191;SIM;SIM
28731394000177;SIM;NÃO
28756538000140;SIM;SIM
28762286000161;SIM;SIM
28852331000179;SIM;SIM
28887331000104;SIM;SIM
28924416000115;SIM;NÃO
28940246000162;SIM;SIM
28987607000126;SIM;SIM
29088445000157;NÃO;NÃO
29096067000153;SIM;SIM
29100634000106;SIM;NÃO
29180947000103;NÃO;NÃO
29206677000162;SIM;SIM
29232603000109;SIM;SIM
29241082000148;NÃO;NÃO
29286662000151;SIM;NÃO
29335864000146;SIM;SIM
29396932000349;NÃO INFORMADO;NÃO INFORMADO
29410202000193;SIM;NÃO
29530710000105;SIM;SIM
29574783000107;SIM;SIM
29678780000105;NÃO;NÃO
29721844000103;SIM;SIM
29782945000194;SIM;NÃO
29852104000106;SIM;NÃO
29859266000176;SIM;SIM
29878298000119;SIM;SIM
29888430000173;SIM;SIM
29909872000159;SIM;SIM
29913391000117;SIM;SIM
29995914000111;SIM;NÃO
29997526000170;SIM;SIM
30006797000103;SIM;SIM
30084870000157;SIM;SIM
30099073000143;SIM;SIM
30125363000114;NÃO;NÃO
30187803000168;SIM;SIM
30333717000116;SIM;SIM
30348102000163;SIM;SIM
30353933000123;NÃO;NÃO
30365048000164;SIM;NÃO
